               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.030625,            0.025465,            0.031508,             0.78528,             0.39329,             0.45582,             0.34488,            0.023376,            0.016225,            0.032671,           0.0091783,           0.0091783,           0.0091783
                  85,            0.030136,             0.02536,            0.031551,             0.86014,             0.35389,             0.44493,             0.33463,            0.023857,            0.016418,            0.032763,           0.0091684,           0.0091684,           0.0091684
                  86,            0.030154,            0.025487,            0.032092,             0.84612,             0.35686,             0.43887,             0.33276,            0.024143,            0.016805,            0.032795,           0.0091585,           0.0091585,           0.0091585
                  87,             0.03009,            0.025421,            0.030896,             0.78717,             0.39455,             0.46118,             0.34083,            0.024301,            0.016596,            0.033197,           0.0091486,           0.0091486,           0.0091486
                  88,            0.029655,            0.025469,            0.030474,             0.81597,             0.38006,             0.45831,             0.34797,            0.023334,            0.016264,            0.031662,           0.0091387,           0.0091387,           0.0091387
                  89,            0.029689,            0.025311,            0.030124,             0.82511,             0.39178,             0.46859,             0.35311,            0.022969,            0.016119,            0.031532,           0.0091288,           0.0091288,           0.0091288
                  90,            0.029192,            0.024899,            0.029349,             0.82018,             0.38165,             0.45964,             0.34505,            0.023457,            0.015924,            0.032193,           0.0091189,           0.0091189,           0.0091189
                  91,            0.029667,            0.025247,             0.02974,             0.80118,             0.40926,             0.45732,             0.34693,            0.023402,            0.016274,            0.031076,            0.009109,            0.009109,            0.009109
                  92,            0.029871,            0.025302,            0.028718,             0.83458,             0.37594,             0.47403,             0.35461,             0.02352,            0.016116,            0.031609,           0.0090991,           0.0090991,           0.0090991
                  93,            0.029479,            0.025023,            0.028876,             0.81079,             0.39805,             0.47376,             0.36267,            0.023096,            0.016075,            0.030797,           0.0090892,           0.0090892,           0.0090892
                  94,            0.028998,            0.024751,            0.028228,             0.82595,             0.39125,             0.46776,             0.35961,             0.02299,            0.016086,            0.031353,           0.0090793,           0.0090793,           0.0090793
                  95,            0.029101,            0.024486,            0.028342,             0.85419,             0.39102,              0.4679,             0.35302,            0.023906,            0.016569,            0.030521,           0.0090694,           0.0090694,           0.0090694
                  96,            0.029564,            0.024951,            0.028912,             0.78814,             0.41752,             0.46738,              0.3533,            0.023526,            0.015931,            0.030927,           0.0090595,           0.0090595,           0.0090595
