               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.032947,            0.031487,            0.044831,             0.73468,             0.24073,             0.27366,               0.202,            0.026917,            0.018606,            0.042571,           0.0092872,           0.0092872,           0.0092872
                  74,            0.032959,              0.0311,             0.04382,             0.78873,             0.22654,             0.28276,             0.21168,            0.025899,            0.018326,            0.041664,           0.0092773,           0.0092773,           0.0092773
                  75,            0.032941,            0.030386,            0.043594,             0.74549,             0.23423,             0.27874,             0.20963,            0.025557,            0.018353,            0.041326,           0.0092674,           0.0092674,           0.0092674
                  76,            0.033028,            0.030798,            0.044003,             0.81182,             0.22414,             0.29729,             0.22824,            0.025528,            0.018462,            0.042046,           0.0092575,           0.0092575,           0.0092575
                  77,            0.032648,            0.030485,            0.042678,             0.76562,             0.24186,             0.29825,             0.22203,            0.025894,            0.018415,            0.040762,           0.0092476,           0.0092476,           0.0092476
                  78,             0.03217,            0.030795,            0.043409,             0.73182,             0.25237,             0.29654,             0.22043,            0.026047,            0.018377,            0.040819,           0.0092377,           0.0092377,           0.0092377
                  79,            0.032085,            0.030333,            0.042116,             0.73353,             0.25709,             0.30042,             0.22687,            0.025314,            0.018199,            0.040191,           0.0092278,           0.0092278,           0.0092278
                  80,            0.032509,            0.030524,            0.041629,             0.72082,             0.27852,             0.31802,             0.23488,            0.025699,            0.018563,            0.040407,           0.0092179,           0.0092179,           0.0092179
                  81,            0.032357,            0.030088,            0.040877,             0.71506,             0.28426,             0.31171,             0.23136,            0.025252,            0.018091,            0.039731,            0.009208,            0.009208,            0.009208
                  82,            0.032401,            0.030234,            0.040864,             0.75816,             0.27963,             0.33391,             0.25337,            0.025228,            0.018263,            0.039426,           0.0091981,           0.0091981,           0.0091981
                  83,            0.032196,             0.02991,            0.041181,             0.77144,             0.27475,             0.32314,             0.24333,            0.025299,            0.018308,            0.039624,           0.0091882,           0.0091882,           0.0091882
                  84,            0.032928,            0.030546,            0.040567,             0.75937,             0.27571,             0.34391,             0.25821,            0.024977,            0.017824,            0.038864,           0.0091783,           0.0091783,           0.0091783
                  85,             0.03257,            0.030477,            0.040473,             0.75502,             0.26734,             0.34558,              0.2482,            0.026245,            0.018319,            0.039236,           0.0091684,           0.0091684,           0.0091684
                  86,            0.032399,            0.030471,            0.040649,             0.73826,             0.30443,             0.33105,             0.25005,            0.025383,             0.01841,            0.039698,           0.0091585,           0.0091585,           0.0091585
                  87,            0.032097,            0.030207,            0.039163,             0.82456,             0.26458,             0.35093,             0.25695,            0.025822,            0.018307,            0.038908,           0.0091486,           0.0091486,           0.0091486
                  88,             0.03204,            0.030805,             0.03945,             0.78675,             0.28989,             0.33981,             0.25593,            0.024912,            0.018101,            0.038662,           0.0091387,           0.0091387,           0.0091387
